429492,556832,660707,662566,662706,670911,674087,1221630,1119970,103875,1859,140,8205,3176,547543,-101660,11.25,0
177114,850061,882911,877945,879303,881782,884172,886596,889120,32850,-4966,1358,2479,2390,2424,2524,-26.5,1
414082,608542,612919,611920,611927,335420,337610,339294,619797,4377,-999,7,-276507,2190,1684,280503,-31.5,1
428133,252753,259476,293407,293996,294983,250133,261573,146525,6723,33931,589,987,-44850,11440,-115048,23.5,0
403268,2358324,2375731,2376091,2286074,2096579,2089733,2090532,2099167,17407,360,-90017,-189495,-6846,799,8635,15.5,1
428111,253824,433033,439696,525689,357922,452828,530786,372410,179209,6663,85993,-167767,94906,77958,-158376,6.0,0
135196,550949,559997,538448,538858,672862,673632,554942,555469,9048,-21549,410,134004,770,-118690,527,24.5,1
386709,1265886,720462,1302577,1258342,1266637,1264729,1316511,1317819,-545424,582115,-44235,8295,-1908,51782,1308,12.5,1
428134,116637,121892,180534,180672,181507,182754,255509,114286,5255,58642,138,835,1247,72755,-141223,1.5,0
331219,2352044,2381428,2376459,2382059,2383258,2389548,2354147,2356324,29384,-4969,5600,1199,6290,-35401,2177,21.0,1
177113,220426,227988,228570,228771,229217,229788,230610,232057,7562,582,201,446,571,822,1447,21.0,1
364681,539512,554633,557116,558189,559428,559902,557935,558154,15121,2483,1073,1239,474,-1967,219,16.0,0
402718,934450,965407,943203,973545,976650,981007,984686,987788,30957,-22204,30342,3105,4357,3679,3102,9.5,1
431748,49791,19522,67895,66253,65239,64123,64618,64620,-30269,48373,-1642,-1014,-1116,495,2,21.5,0
397053,332802,339376,338836,331681,327558,337993,335045,336954,6574,-540,-7155,-4123,10435,-2948,1909,5.5,1
431450,339443,191960,201898,295338,297971,300470,303261,388781,-147483,9938,93440,2633,2499,2791,85520,61.5,1
177179,134291,138860,135431,135479,135763,136083,136383,136681,4569,-3429,48,284,320,300,298,23.5,0
447740,530425,553090,554436,549144,551234,553997,556600,561865,22665,1346,-5292,2090,2763,2603,5265,7.0,1
415003,227185,244954,279856,278934,280521,514075,285574,284845,17769,34902,-922,1587,233554,-228501,-729,21.0,0
337587,19459,25263,18998,31612,24662,24715,33879,33916,5804,-6265,12614,-6950,53,9164,37,35.0,0
448987,74188,78384,78764,78808,79229,79562,80029,88418,4196,380,44,421,333,467,8389,49.5,1
402732,1189087,1222516,1234896,1236746,1239207,1244784,1251813,1253226,33429,12380,1850,2461,5577,7029,1413,9.5,1
237932,174699,175655,175687,175774,175839,175944,176062,176168,956,32,87,65,105,118,106,39.5,0
125631,287710,294823,295382,296158,297256,298144,299403,301043,7113,559,776,1098,888,1259,1640,8.0,1
428116,91113,91579,91715,91844,92041,92168,92311,92454,466,136,129,197,127,143,143,43.0,0
334064,204591,203539,203069,203135,203205,203270,203345,203417,-1052,-470,66,70,65,75,72,7.5,0
403266,647289,653301,653421,655218,655574,656031,656396,656683,6012,120,1797,356,457,365,287,44.0,0
400732,353677,363903,366335,366524,367455,368510,370051,370928,10226,2432,189,931,1055,1541,877,23.0,1
428130,135831,140560,134981,135301,135873,136273,142478,142894,4729,-5579,320,572,400,6205,416,30.0,0
442757,236635,263729,266436,267843,269513,269768,271555,275461,27094,2707,1407,1670,255,1787,3906,39.25,1
379420,1099132,1117709,1127935,1124149,1133290,1055811,1187085,1128680,18577,10226,-3786,9141,-77479,131274,-58405,-25.0,0
305282,62404,62407,62408,62409,67485,67575,67577,67716,3,1,1,5076,90,2,139,-5.25,0
431449,192640,134879,162727,101972,102697,124832,123786,97410,-57761,27848,-60755,725,22135,-1046,-26376,24.5,0
429015,82367,85208,86081,86088,86274,86471,86642,104680,2841,873,7,186,197,171,18038,45.0,1
428114,140079,143087,130416,130563,130847,131293,131529,142095,3008,-12671,147,284,446,236,10566,18.25,1
428115,115942,119148,109618,109626,110002,99829,100112,112362,3206,-9530,8,376,-10173,283,12250,14.5,1
425756,47240,47253,47305,47317,44576,41116,30083,30083,13,52,12,-2741,-3460,-11033,0,50.0,0
301098,1053704,1063370,950623,951120,951156,956254,957212,958304,9666,-112747,497,36,5098,958,1092,11.0,1
400767,5640,42345,42420,42398,42487,42560,42630,42698,36705,75,-22,89,73,70,68,2.0,0
404608,4820,4924,4938,4939,4950,4958,4966,4972,104,14,1,11,8,8,6,43.0,0
404605,45331,49348,49347,49363,49543,49772,50036,50166,4017,-1,16,180,229,264,130,48.0,0
431428,63565,42917,42990,42991,42451,42540,42477,42713,-20648,73,1,-540,89,-63,236,7.0,0
401020,15358,16361,16428,16428,15872,15940,16060,16118,1003,67,0,-556,68,120,58,10.0,0
290841,90456,88183,88198,88200,88214,88216,65192,49219,-2273,15,2,14,2,-23024,-15973,-13.5,0
376250,91965,93464,94076,87351,94382,94520,88004,88238,1499,612,-6725,7031,138,-6516,234,-14.0,0
