414082,0,3.5,-2,4.0,-8.0,-3,-7.0,-13.0,-6.0,1,-1.0,-31.5
415003,0,1,4,9.5,1,0.0,3.0,-2,1.5,-1.0,4,21.0
418208,0,-7.0,9.0,1,1,7.0,-1.5,0,4.0,2.5,2.5,18.5
425753,0,-1,6,2,-6,2,5.0,0.0,5.0,-1,6.5,18.5
425755,0,0,-14.0,2,4,17.0,2.5,2.0,5.0,1.5,-2,18.0
425756,0,6.5,6.5,18.5,6.0,3.5,-4.5,1.0,2.0,1.5,9.0,50.0
426691,0,2.5,0.5,8.0,8.0,0,-8.0,-2,2,3.0,5.0,19.0
428111,0,3,1,1,-2,4.0,2.0,0,0,-2,-1,6.0
428113,0,2.5,2.0,-6.0,0,-5.0,4.0,1.0,-1,-2,-0.5,-5.0
428114,0,5.0,5.0,-2,1,12.25,-2.0,-5.0,-4.0,2,6.0,18.25
428115,0,2,-1,-2,-2.0,6,-6.5,0.0,2.0,10.0,6.0,14.5
428116,0,4.0,2.0,2,-1,0.0,8.0,-4.0,7.0,7.0,18.0,43.0
428121,0,7.0,2,8.0,-0.5,9.0,9.0,8.0,2,-2.0,-1.0,41.5
428122,0,-11.0,0,1,0.0,-3.0,5.5,6,4,5.5,7.0,15.0
428124,0,1,-4.0,-5.0,5.0,-2.0,0,0.5,2,0,1,-1.5
428127,0,1,16.0,1,2.0,6.0,2.5,6.0,7.0,-1,2.0,42.5
428128,0,-7.5,3,5,3.0,11.5,7.0,-4.0,-3,1.5,2,18.5
428130,0,1,3.0,8.0,1.0,6.0,-3.5,0.5,7.0,2,5.0,30.0
428133,0,6.0,7.0,0,-4.5,-3.0,8.0,2.5,11,-5.5,2.0,23.5
428134,0,-0.5,3,-2,-6.0,2.0,-4.5,-4.0,4.0,3,6.5,1.5
428135,0,7.0,6.0,3.0,1,-3.0,3,2,0,9.5,2,30.5
429014,0,4.0,8.5,3.0,-9.0,1.5,2.0,2.0,-4,4.0,1.5,13.5
