103875,1859,140,8205,3176,547543,-101660,11.25,0
32850,-4966,1358,2479,2390,2424,2524,-26.5,1
4377,-999,7,-276507,2190,1684,280503,-31.5,1
6723,33931,589,987,-44850,11440,-115048,23.5,0
17407,360,-90017,-189495,-6846,799,8635,15.5,1
179209,6663,85993,-167767,94906,77958,-158376,6.0,0
9048,-21549,410,134004,770,-118690,527,24.5,1
-545424,582115,-44235,8295,-1908,51782,1308,12.5,1
5255,58642,138,835,1247,72755,-141223,1.5,0
29384,-4969,5600,1199,6290,-35401,2177,21.0,1
7562,582,201,446,571,822,1447,21.0,1
15121,2483,1073,1239,474,-1967,219,16.0,0
30957,-22204,30342,3105,4357,3679,3102,9.5,1
-30269,48373,-1642,-1014,-1116,495,2,21.5,0
6574,-540,-7155,-4123,10435,-2948,1909,5.5,1
-147483,9938,93440,2633,2499,2791,85520,61.5,1
4569,-3429,48,284,320,300,298,23.5,0
22665,1346,-5292,2090,2763,2603,5265,7.0,1
17769,34902,-922,1587,233554,-228501,-729,21.0,0
5804,-6265,12614,-6950,53,9164,37,35.0,0
4196,380,44,421,333,467,8389,49.5,1
33429,12380,1850,2461,5577,7029,1413,9.5,1
956,32,87,65,105,118,106,39.5,0
7113,559,776,1098,888,1259,1640,8.0,1
466,136,129,197,127,143,143,43.0,0
-1052,-470,66,70,65,75,72,7.5,0
6012,120,1797,356,457,365,287,44.0,0
10226,2432,189,931,1055,1541,877,23.0,1
4729,-5579,320,572,400,6205,416,30.0,0
27094,2707,1407,1670,255,1787,3906,39.25,1
18577,10226,-3786,9141,-77479,131274,-58405,-25.0,0
3,1,1,5076,90,2,139,-5.25,0
-57761,27848,-60755,725,22135,-1046,-26376,24.5,0
2841,873,7,186,197,171,18038,45.0,1
3008,-12671,147,284,446,236,10566,18.25,1
3206,-9530,8,376,-10173,283,12250,14.5,1
13,52,12,-2741,-3460,-11033,0,50.0,0
9666,-112747,497,36,5098,958,1092,11.0,1
36705,75,-22,89,73,70,68,2.0,0
104,14,1,11,8,8,6,43.0,0
4017,-1,16,180,229,264,130,48.0,0
-20648,73,1,-540,89,-63,236,7.0,0
1003,67,0,-556,68,120,58,10.0,0
-2273,15,2,14,2,-23024,-15973,-13.5,0
1499,612,-6725,7031,138,-6516,234,-14.0,0
-3758,724,-9197,-8821,-1429,16597,3906,18.0,1
53559,2297,1478,-16199,18371,-12033,367393,46.5,1
3138,-139952,-140692,404,89436,882,885,0.5,1
-6573,9250,-3011,3585,-3131,71199,-3048,18.0,0
5322,544,95,25539,-24453,7027,4491,18.5,1
31378,2897,2782,3075,10,2656,2831,44.5,1
-3668,23,17,-9265,1431,3015,5,18.5,0
22948,1881,2044,2177,176,2298,3106,48.5,1
1573,-32268,136,249,212,247,292,12.5,0
-955,34,6,-2766,-7882,140398,-2508,12.5,0
834,-3388,79,80,59,114,121,17.0,0
0,0,0,0,10,0,2,11.5,0
0,1,2,0,2,1,-10306,64.5,0
1,3,3,2,2,1,1,107.0,0
1100,94,0,102,97,93,95,-26.5,0
6503,-20056,175,425,352,6499,427,42.5,0
2853,175,131,1,82514,1088,-503,64.5,0
-20027,676,32,43,47,45,35,8.25,0
1417,2355,101,206,-5229,196,25183,-1.5,1
806,60,4,122,-2493,107,54,14.0,0
92,-14118,28,41,36,44,-14250,7.5,0
704,80,27,161,80,15215,192,15.0,0
-202,148,19,136,128,534,157,13.5,0
884,7,50,48,61,53,62,19.0,0
595,35,4,-566,-1174,49,35,-1.0,0
5576,402,0,-379634,403,441,511,26.0,1
659,43,38,3,55,50,59,34.5,0
-11066,-1207,24,25,-3734,2786,6022,9.5,1
225,-9508,40,42,18,98,90,28.5,0
5363,344,26,285,298,292,240,28.5,0
979,161,63,163,118,145,130,41.5,0
7504,572,12,608,597,496,462,34.5,0
3750,-217182,8,309,294,256,247,37.0,0
17473,889,1,952,1557,1091,1272,29.0,1
-8061,7559,-5837,2061,-7453,4013,-2476,44.0,0
-4677,3361,10,-17257,48,95,57,16.0,0
-63718,-17089,92,136,146,-420,158,30.5,0
38,-365,3586,-3555,277,3697,-3573,45.0,0
361,13,2,2,-7,31,12,-14.0,0
105828,67547,5289,-66797,-54267,71606,7662,10.5,1
-168,1900,-199,5299,387,11,13,18.5,0
3138,525,46,280,220,340,220,-12.5,0
0,0,1,1,0,0,0,27.0,0
13,-494,442,283,21,-22560,62,31.5,0
6,-163,3,3,13,4,0,-34.5,0
42,1,6,1453,639,26967,13382,19.0,1
-2646,-362,3477,-9929,-892,7530,23,12.5,0
1027,26,5,50,0,108,39,-16.0,0
2404,612,186,10955,589,388,-59,-5.0,0
208,51,7,37,66,84,78,14.5,0
-1453,0,0,0,0,-62,0,28.5,0
16,-373,13,399,7517,315,37,3.0,0
77,18,16,10,53,17,-43874,30.5,0
-6774,-926,-55,-937,1208,8,-1007,7.0,0
-11,-349,-700,0,1,724,-270,24.0,0
